raid_id,type,date_raised,title,description,source,raised_by,owner,probability,impact,risk_score,mitigation_action,contingency,status,target_date,resolution_notes,session_date
1,Issue,2025-04-28,Finacle 10.2 API Missing Customer Master Update Endpoint,"The Finacle 10.2 API is missing a crucial customer master update endpoint, necessitating the development of a custom wrapper. This has already caused an 8-day delay to the project timeline.",NEW ISSUES SINCE KICKOFF,Project Team,Dev Anand (Backend Lead),N/A,High,N/A,Continue development and testing of the custom wrapper for the missing Finacle API endpoint.,"If further API gaps or wrapper issues arise, escalate to Finacle support directly and reassess project timeline.",In Progress,2025-05-09,,2026-04-12
2,Risk,2025-04-28,Further Finacle API Integration Issues or Custom Wrapper Failure,"There is a risk that additional Finacle API gaps may be discovered during integration testing, or the custom wrapper developed for the missing endpoint could fail in production. This would cause significant further delays and potential system instability.",RISKS: 1,Project Team,Project Manager,Medium,High,Medium-High,Conduct extensive API discovery and integration testing early. Implement robust error handling and monitoring for the custom wrapper.,Engage Finacle vendor support directly. Prepare for further timeline adjustments or phased rollout if critical functionality is impacted.,Open,2025-06-13,,2026-04-12
3,Issue,2025-04-28,RBI Mandated Consent Management Module (Not in Original SOW),"The RBI's data localisation guidelines mandate a consent management module, which is a non-negotiable regulatory requirement. This module was not included in the original SOW, and failure to deliver it will prevent the platform's legal launch.",NEW ISSUES SINCE KICKOFF; RISKS: 2,Project Team,Project Manager,N/A,Critical,N/A,Immediately integrate the consent management module into the development roadmap and prioritize its implementation.,N/A - 'Zero flexibility on this item' means no alternative if not delivered; project cannot launch.,Open,2025-07-11,,2026-04-12
4,Issue,2025-04-28,Client Request for Video KYC Option & Resource Strain,"The client operations team has requested a Video KYC option, requiring a third-party SDK, new agent workflow, and session storage. If approved, Dev Anand (backend engineer) cannot simultaneously handle this and the Finacle wrapper, requiring a second backend engineer.",NEW ISSUES SINCE KICKOFF; TEAM FLAGS; RISKS: 4,Client Operations Team,Project Manager / Product Owner,N/A,Medium,N/A,"Conduct a formal Change Request (CR) review for Video KYC, assessing feasibility, scope, and impact on resources and timeline. If approved, immediately initiate recruitment or re-allocation for a second backend engineer.","If additional resource cannot be secured, defer Video KYC to a subsequent phase or reject the CR.",Open (Pending CR decision & resource assessment),2025-05-05,,2026-04-12
5,Issue,2025-04-28,SMS Gateway Changed from Exotel to Twilio,The project's SMS gateway has been changed from Exotel to Twilio due to the client IT's existing contract. This requires rework on the notification module to integrate the new provider.,NEW ISSUES SINCE KICKOFF,Client IT,Tech Lead,N/A,Low,N/A,Prioritize and schedule the rework for the notification module to integrate with Twilio.,N/A (Mandatory rework; impact is primarily resource allocation and minor timeline adjustment),In Progress,2025-05-12,,2026-04-12
6,Issue,2025-04-28,Performance and UAT Environment Delays,"The performance testing environment has been delayed to Week 8 (originally Week 6), as confirmed by client IT Head Suresh. This delay has reduced the UAT window from 3 weeks to 2 weeks, significantly compressing the overall testing phase.",NEW ISSUES SINCE KICKOFF; ONGOING RISKS; RISKS: 3,Client IT Head Suresh,Sarah Mitchell (Client IT),N/A,High,N/A,Sarah Mitchell is escalating environment availability as a formal blocker. Project team to ensure development stays ahead of schedule to absorb the reduced testing window.,"If development slips further, consider implementing a buffer week or a soft go-live. Immediate discussions for potential scope reduction to meet the July 18 Go-Live date.",Open,2025-05-23,(Week 8 is May 19-23),2026-04-12
7,Risk,2025-04-28,July 18 Go-Live Date at High Risk due to Combined Factors,"The project's July 18 Go-Live date is at significant risk due to the cumulative effect of Finacle API delays, new regulatory requirements, client-requested scope, compressed testing windows (environment delays), and accumulated Change Requests (CRs). The QA Lead has assessed the timeline is at risk.","ONGOING RISKS (Timeline); RISKS: 3, 6; QA Lead assessment",QA Lead,Project Manager,High,High,High,Conduct an urgent re-baselining of the project plan. Prioritize critical path items ruthlessly. Sarah Mitchell to continue escalation of environment blockers. Closely monitor development progress against a June 20 target for completion.,Initiate discussions for a revised Go-Live date or a phased launch with an absolute minimum viable product. Kavya Reddy recommends a buffer week or soft go-live if development slips past June 20.,Open,2025-05-12,(Decision point for re-baselining/revising Go-Live),2026-04-12
8,Issue,2025-04-28,Overdue Data Privacy Legal Sign-off,"Data privacy legal sign-off is still pending and is now 3 weeks overdue. James Okafor expects approval by May 5. This sign-off is critical as test data cannot be shared until clearance is received, blocking Week 6 UAT preparation.",NEW ISSUES SINCE KICKOFF; ONGOING RISKS; RISKS: 5,Project Team,James Okafor (Legal) / Sarah Mitchell (Project Sponsor),N/A,High,N/A,Sarah Mitchell is formally escalating this as a blocker. Daily follow-up with James Okafor for expedited approval.,"If the May 5 deadline slips, explore alternative, highly anonymized test data strategies or be prepared for further delays to the UAT phase and project timeline.",Open,2025-05-05,,2026-04-12
9,Risk,2025-04-28,Continued Delay in Data Privacy Sign-off to Impact UAT Preparation,"If the Data Privacy legal sign-off deadline of May 5, 2025, is missed again, the Week 6 UAT preparation activities will be directly impacted, causing further delays to the already compressed testing window and ultimately the project timeline.",RISKS: 5,Project Team,Project Manager,Medium,High,Medium-High,"Consistent, high-priority follow-ups with James Okafor and relevant legal stakeholders.","Assess options for using synthetically generated or extremely limited anonymized data for initial UAT preparation, understanding the limitations and risks associated.",Open,2025-05-05,,2026-04-12
10,Issue,2025-04-28,Unassessed Cumulative Impact of 10 Change Requests,"A total of 10 Change Requests (6 from kickoff, 4 this week) have been raised. The cumulative impact of these requests on the project's timeline and team capacity is significant and has not yet been formally assessed or incorporated into the project plan.",ONGOING RISKS (Scope creep); RISKS: 6,Project Team,Project Manager / Product Owner,N/A,High,N/A,"Schedule an urgent CR review board to formally assess all 10 CRs, prioritize them, and make clear decisions on inclusion/exclusion or deferment to later phases.","If all CRs are mandatory, a formal re-baselining of the project scope, timeline, and budget will be required, potentially necessitating additional resources.",Open,2025-05-12,(Formal CR Assessment Meeting),2026-04-12
